CpG,gene,region,feature
cg08767027,KHDRBS3,promoter,KHDRBS3__promoter
cg08767044,LITAF,promoter,LITAF__promoter
cg08767286,GBX2,promoter,GBX2__promoter
cg08767627,NPY1R,promoter,NPY1R__promoter
cg08767637,LOC283867,body,LOC283867__body
cg08767708,ZFHX3,promoter,ZFHX3__promoter
cg08767710,ATP6V0E2,promoter,ATP6V0E2__promoter
cg08767743,WDR60,body,WDR60__body
cg08768048,RSPO2,body,RSPO2__body
cg08768218,DLC1,promoter,DLC1__promoter
cg08768395,ADAMTS12,body,ADAMTS12__body
cg08768421,GDA,promoter,GDA__promoter
cg08768435,TAF1C,body,TAF1C__body
cg08768569,SORCS3,promoter,SORCS3__promoter
cg08768904,DGKZ,body,DGKZ__body
cg08768920,HSD17B13,body,HSD17B13__body
cg08769073,MICAL2,body,MICAL2__body
cg08769189,RAB27A,promoter,RAB27A__promoter
cg08769276,UFSP2,promoter,UFSP2__promoter
cg08769300,TRPC3,body,TRPC3__body
cg08769370,ZNF346,promoter,ZNF346__promoter
cg08769451,OPCML,promoter,OPCML__promoter
cg08769507,ODZ2,body,ODZ2__body
cg08769781,ENTPD4,promoter,ENTPD4__promoter
cg08769852,TMEM167A,promoter,TMEM167A__promoter
cg08769966,ST8SIA2,body,ST8SIA2__body
cg08770580,ECE2,promoter,ECE2__promoter
cg08770590,SMNDC1,promoter,SMNDC1__promoter
cg08770647,ROBO4,promoter,ROBO4__promoter
cg08770734,RPS6KA2,body,RPS6KA2__body
cg08770761,ATP6V0C,promoter,ATP6V0C__promoter
cg08770771,TAPBP,body,TAPBP__body
cg08770869,CDC25B,promoter,CDC25B__promoter
cg08770961,RRAD,body,RRAD__body
cg08771019,ZBTB22,promoter,ZBTB22__promoter
cg08771171,CTNNA1,promoter,CTNNA1__promoter
cg08771429,KRIT1,promoter,KRIT1__promoter
cg08771706,KCNQ1DN,promoter,KCNQ1DN__promoter
cg08771731,LOC285696,promoter,LOC285696__promoter
cg08772003,AS3MT,body,AS3MT__body
cg08772028,AMICA1,promoter,AMICA1__promoter
cg08772106,CPNE7,body,CPNE7__body
cg08772111,HDAC4,body,HDAC4__body
cg08772163,ARL11,promoter,ARL11__promoter
cg08772232,PFN3,promoter,PFN3__promoter
cg08772265,PSMB8,promoter,PSMB8__promoter
cg08772345,XKR4,body,XKR4__body
cg08772567,KCNMA1,body,KCNMA1__body
cg08772789,SEPT9,promoter,SEPT9__promoter
cg08772837,PCDHA7,promoter,PCDHA7__promoter
cg08773029,ANKMY1,body,ANKMY1__body
cg08773078,SPG7,body,SPG7__body
cg08773314,ASB1,promoter,ASB1__promoter
cg08773466,GRAMD4,body,GRAMD4__body
cg08774231,PPP2R2B,promoter,PPP2R2B__promoter
cg08774280,SYNPO2,body,SYNPO2__body
cg08774350,SCFD2,body,SCFD2__body
cg08774368,CHST2,promoter,CHST2__promoter
cg08774452,TMEM132C,body,TMEM132C__body
cg08774694,BCAR1,promoter,BCAR1__promoter
cg08774802,FAM195A,promoter,FAM195A__promoter
cg08774868,SEMA3C,body,SEMA3C__body
cg08774871,C16orf74,promoter,C16orf74__promoter
cg08774969,FGFRL1,promoter,FGFRL1__promoter
cg08775211,SORCS2,body,SORCS2__body
cg08775230,C11orf52,promoter,C11orf52__promoter
cg08775629,ST6GAL2,body,ST6GAL2__body
cg08775774,CCDC62,promoter,CCDC62__promoter
cg08775835,PRSS8,promoter,PRSS8__promoter
cg08775963,SMARCAD1,promoter,SMARCAD1__promoter
cg08776014,RIPK4,body,RIPK4__body
cg08776109,HYAL2,body,HYAL2__body
cg08776331,TSC2,body,TSC2__body
cg08776641,ART1,body,ART1__body
cg08776660,CRAMP1L,body,CRAMP1L__body
cg08776820,PPAP2A,body,PPAP2A__body
cg08776855,ENOX1,body,ENOX1__body
cg08777095,CD8B,body,CD8B__body
cg08777167,GPR135,promoter,GPR135__promoter
cg08777206,RNF213,body,RNF213__body
cg08777211,TSGA14,body,TSGA14__body
cg08777402,RALB,promoter,RALB__promoter
cg08777490,DUSP4,promoter,DUSP4__promoter
cg08777771,SH3YL1,body,SH3YL1__body
cg08778148,TFPI,promoter,TFPI__promoter
cg08778216,RPL31,body,RPL31__body
cg08778287,IGF1R,body,IGF1R__body
cg08778805,FAT3,body,FAT3__body
cg08778908,LPAR6,promoter,LPAR6__promoter
cg08779207,PLCB2,body,PLCB2__body
cg08779706,FAM24B,promoter,FAM24B__promoter
cg08779777,PIK3CG,promoter,PIK3CG__promoter
cg08779982,TSC2,body,TSC2__body
cg08780020,KIAA1826,promoter,KIAA1826__promoter
cg08780063,TRIM37,body,TRIM37__body
cg08780166,SLC8A1,body,SLC8A1__body
cg08780398,LOC100192378,body,LOC100192378__body
cg08780837,ZCCHC10,promoter,ZCCHC10__promoter
cg08780887,MBL2,promoter,MBL2__promoter
cg08781253,TOP1MT,promoter,TOP1MT__promoter
cg08781257,SYT17,body,SYT17__body
cg08781448,GALNS,promoter,GALNS__promoter
cg08781584,NCRNA00113,body,NCRNA00113__body
cg08781655,ZBTB9,body,ZBTB9__body
cg08781710,MEFV,body,MEFV__body
cg08781728,NPM2,promoter,NPM2__promoter
cg08781738,RAD21,body,RAD21__body
cg08781740,MKL2,promoter,MKL2__promoter
cg08781755,LRPPRC,body,LRPPRC__body
cg08782022,MGRN1,body,MGRN1__body
cg08782213,SLC25A23,promoter,SLC25A23__promoter
cg08782420,NDFIP1,body,NDFIP1__body
cg08782481,HIST1H3I,promoter,HIST1H3I__promoter
cg08782487,HSPA1L,body,HSPA1L__body
cg08782897,NUSAP1,promoter,NUSAP1__promoter
cg08782899,ARL16,promoter,ARL16__promoter
cg08783219,TSC2,body,TSC2__body
cg08783253,AOC2,promoter,AOC2__promoter
cg08783300,TNFRSF10C,promoter,TNFRSF10C__promoter
cg08783499,IGSF9B,body,IGSF9B__body
cg08783584,ARID1B,body,ARID1B__body
cg08783616,C17orf76,body,C17orf76__body
cg08783639,ANXA5,body,ANXA5__body
cg08783647,C6orf64,body,C6orf64__body
cg08783695,DIP2C,body,DIP2C__body
cg08783793,ERAP1,promoter,ERAP1__promoter
cg08783845,PPEF2,body,PPEF2__body
cg08783941,DLC1,body,DLC1__body
cg08784091,BAT5,body,BAT5__body
cg08784110,MAS1,promoter,MAS1__promoter
cg08784129,PAX6,body,PAX6__body
cg08784238,HERC2,body,HERC2__body
cg08784247,MIR618,promoter,MIR618__promoter
cg08784317,RALA,body,RALA__body
cg08784334,FAT1,body,FAT1__body
cg08784462,PAQR9,promoter,PAQR9__promoter
cg08784934,DIP2C,body,DIP2C__body
cg08784950,ESYT2,body,ESYT2__body
cg08784966,TBC1D22B,body,TBC1D22B__body
cg08785007,EPN1,body,EPN1__body
cg08785164,C4orf19,body,C4orf19__body
cg08785166,KRTAP4-1,body,KRTAP4-1__body
cg08785215,FLNB,promoter,FLNB__promoter
cg08785274,KLHDC9,promoter,KLHDC9__promoter
cg08785534,GAL,promoter,GAL__promoter
cg08785577,C1QL4,promoter,C1QL4__promoter
cg08785922,NXN,promoter,NXN__promoter
cg08786003,FCRL3,promoter,FCRL3__promoter
cg08786822,HTT,body,HTT__body
cg08786829,LOC285954,body,LOC285954__body
cg08786957,CAPZA2,promoter,CAPZA2__promoter
cg08787039,C1orf14,body,C1orf14__body
cg08787083,PTPRE,body,PTPRE__body
cg08787332,SDK1,body,SDK1__body
cg08787401,EPHA4,body,EPHA4__body
cg08787664,TM7SF4,promoter,TM7SF4__promoter
cg08787769,PRSS21,body,PRSS21__body
cg08787791,C13orf30,promoter,C13orf30__promoter
cg08787968,WT1,body,WT1__body
cg08787988,IFT172,promoter,IFT172__promoter
cg08788246,ZNF74,body,ZNF74__body
cg08788291,RECQL5,promoter,RECQL5__promoter
cg08788438,FLRT1,promoter,FLRT1__promoter
cg08788576,NDST2,promoter,NDST2__promoter
cg08788681,TEPP,promoter,TEPP__promoter
cg08788717,STK33,promoter,STK33__promoter
cg08788819,NRIP1,promoter,NRIP1__promoter
cg08788930,DENND3,body,DENND3__body
cg08789022,SLC30A3,body,SLC30A3__body
cg08789073,ZHX2,body,ZHX2__body
cg08789697,TMPRSS11A,body,TMPRSS11A__body
cg08789739,MYH11,body,MYH11__body
cg08789908,HSD11B2,promoter,HSD11B2__promoter
cg08789933,KIAA0182,promoter,KIAA0182__promoter
cg08790004,NFATC2IP,promoter,NFATC2IP__promoter
cg08790212,UBTF,promoter,UBTF__promoter
cg08790301,RBPMS,body,RBPMS__body
cg08790319,RAB26,body,RAB26__body
cg08790440,CNTNAP5,promoter,CNTNAP5__promoter
cg08790491,FLJ31306,promoter,FLJ31306__promoter
cg08790581,EFNA5,body,EFNA5__body
cg08790638,PRR5L,body,PRR5L__body
cg08790734,PRDX5,promoter,PRDX5__promoter
cg08791131,NDRG4,promoter,NDRG4__promoter
cg08791234,TAPBP,promoter,TAPBP__promoter
cg08791347,FRMD4A,body,FRMD4A__body
cg08791395,MIR153-2,promoter,MIR153-2__promoter
cg08791424,PLEKHM3,body,PLEKHM3__body
cg08791788,TUBGCP3,body,TUBGCP3__body
cg08791813,RASGRF2,body,RASGRF2__body
cg08791849,AKAP11,promoter,AKAP11__promoter
cg08791922,TMEM132E,body,TMEM132E__body
cg08792185,EHMT2,body,EHMT2__body
cg08792314,COASY,promoter,COASY__promoter
cg08792416,SH3BGRL2,body,SH3BGRL2__body
cg08792634,C10orf78,promoter,C10orf78__promoter
cg08792703,CD6,body,CD6__body
cg08792797,TMEM138,promoter,TMEM138__promoter
cg08792812,ANXA4,body,ANXA4__body
cg08792955,FBXL7,body,FBXL7__body
cg08792995,SCML4,promoter,SCML4__promoter
cg08793208,CKLF,promoter,CKLF__promoter
cg08793459,PTRH2,promoter,PTRH2__promoter
cg08793894,NEURL4,body,NEURL4__body
cg08794022,TRPS1,promoter,TRPS1__promoter
cg08794135,ECE1,promoter,ECE1__promoter
cg08794157,PMP22,promoter,PMP22__promoter
cg08794198,C10orf11,body,C10orf11__body
cg08794539,SLC17A4,body,SLC17A4__body
cg08794544,SLC35C1,promoter,SLC35C1__promoter
cg08794582,LPCAT1,promoter,LPCAT1__promoter
cg08794763,TLE6,promoter,TLE6__promoter
cg08794939,ZFPM1,body,ZFPM1__body
cg08794940,IER3,promoter,IER3__promoter
cg08794954,ODZ4,promoter,ODZ4__promoter
cg08795279,MT3,body,MT3__body
cg08795557,WBSCR17,body,WBSCR17__body
cg08795640,SS18L2,promoter,SS18L2__promoter
cg08795904,MAPK12,body,MAPK12__body
cg08795962,PANX1,body,PANX1__body
cg08796240,VAC14,body,VAC14__body
cg08796342,TC2N,promoter,TC2N__promoter
cg08796640,EXT1,promoter,EXT1__promoter
cg08796741,TTC38,promoter,TTC38__promoter
cg08797423,BEAN,promoter,BEAN__promoter
cg08797454,MDM2,promoter,MDM2__promoter
cg08797483,CALCR,promoter,CALCR__promoter
cg08797598,FOXK1,body,FOXK1__body
cg08797625,CAMK2G,body,CAMK2G__body
cg08797669,MAP3K7IP2,promoter,MAP3K7IP2__promoter
cg08797741,C3orf75,promoter,C3orf75__promoter
cg08797864,IGF2BP2,body,IGF2BP2__body
cg08798148,ALKBH4,body,ALKBH4__body
cg08798184,TAPBP,promoter,TAPBP__promoter
cg08798295,ARPC1B,promoter,ARPC1B__promoter
cg08798492,TNFRSF12A,promoter,TNFRSF12A__promoter
cg08798701,RPL32P3,promoter,RPL32P3__promoter
cg08798862,FAM38A,body,FAM38A__body
cg08798921,FZD6,promoter,FZD6__promoter
cg08798933,USP12,promoter,USP12__promoter
cg08799191,C17orf101,promoter,C17orf101__promoter
cg08799270,SYNJ1,promoter,SYNJ1__promoter
cg08799394,PDLIM1,body,PDLIM1__body
cg08799467,ORAI3,body,ORAI3__body
cg08799655,SCUBE3,body,SCUBE3__body
cg08799656,CDYL2,body,CDYL2__body
cg08799692,SARNP,promoter,SARNP__promoter
cg08799727,SEMA3C,promoter,SEMA3C__promoter
cg08799766,GNA12,body,GNA12__body
cg08799816,RADIL,body,RADIL__body
cg08799865,NT5C2,promoter,NT5C2__promoter
cg08799922,C1R,promoter,C1R__promoter
cg08799967,SLC15A1,body,SLC15A1__body
cg08799997,TTLL2,promoter,TTLL2__promoter
cg08800414,CACNA1I,promoter,CACNA1I__promoter
cg08800497,CSNK1G2,body,CSNK1G2__body
cg08800530,KIAA1191,promoter,KIAA1191__promoter
cg08800777,MYEOV2,promoter,MYEOV2__promoter
cg08800856,NRXN2,body,NRXN2__body
cg08800893,MYH9,body,MYH9__body
cg08801329,NAA20,promoter,NAA20__promoter
cg08801479,NOTCH4,body,NOTCH4__body
cg08801671,RBM4,promoter,RBM4__promoter
cg08801806,CPLX2,promoter,CPLX2__promoter
cg08801887,TCIRG1,body,TCIRG1__body
cg08802167,NPC2,promoter,NPC2__promoter
cg08802203,TIGD1,promoter,TIGD1__promoter
cg08802375,AMDHD2,promoter,AMDHD2__promoter
cg08802409,CISH,promoter,CISH__promoter
cg08802511,ODZ3,promoter,ODZ3__promoter
cg08802533,DPYSL5,promoter,DPYSL5__promoter
cg08802604,RPS6KA2,body,RPS6KA2__body
cg08802607,ATP2B2,body,ATP2B2__body
cg08802652,C6orf64,body,C6orf64__body
cg08802770,AHRR,body,AHRR__body
cg08802933,VIL1,promoter,VIL1__promoter
cg08803129,SLC39A6,promoter,SLC39A6__promoter
cg08803144,ATIC,promoter,ATIC__promoter
cg08803490,PPP1R12A,promoter,PPP1R12A__promoter
cg08803500,HOXC13,body,HOXC13__body
cg08803571,RPP14,promoter,RPP14__promoter
cg08803791,ATP6V1C2,body,ATP6V1C2__body
cg08803878,MED17,body,MED17__body
cg08804013,NFAT5,promoter,NFAT5__promoter
cg08804421,RPTOR,body,RPTOR__body
cg08804517,PRICKLE2,body,PRICKLE2__body
cg08804537,MUC2,body,MUC2__body
cg08804626,GMDS,body,GMDS__body
cg08804807,CPEB4,promoter,CPEB4__promoter
cg08804892,TRAK1,promoter,TRAK1__promoter
cg08805037,C22orf25,promoter,C22orf25__promoter
cg08805041,PIGQ,promoter,PIGQ__promoter
cg08805054,BCL9L,promoter,BCL9L__promoter
cg08805160,RPL27A,promoter,RPL27A__promoter
cg08805208,GPR133,body,GPR133__body
cg08805338,PPP3CB,promoter,PPP3CB__promoter
cg08805386,GOT1L1,promoter,GOT1L1__promoter
cg08805500,UHRF1BP1L,body,UHRF1BP1L__body
cg08805748,ABCF1,promoter,ABCF1__promoter
cg08805821,SIM2,body,SIM2__body
cg08806120,TEX14,body,TEX14__body
cg08806153,HOXD11,promoter,HOXD11__promoter
cg08806263,WDR90,promoter,WDR90__promoter
cg08806348,SAMD1,promoter,SAMD1__promoter
cg08806444,ARL8B,promoter,ARL8B__promoter
cg08806496,NR2F1,promoter,NR2F1__promoter
cg08806558,IGF1,promoter,IGF1__promoter
cg08806578,IQCF3,body,IQCF3__body
cg08806622,PHF12,promoter,PHF12__promoter
cg08806632,LYL1,promoter,LYL1__promoter
cg08806986,TTC25,promoter,TTC25__promoter
cg08807097,TBX5,promoter,TBX5__promoter
cg08807496,C2orf54,promoter,C2orf54__promoter
cg08807541,MAGOHB,promoter,MAGOHB__promoter
cg08807995,SOLH,promoter,SOLH__promoter
cg08808042,BANP,body,BANP__body
cg08808123,GGT1,promoter,GGT1__promoter
cg08808128,CLIP4,promoter,CLIP4__promoter
cg08808367,RASAL2,promoter,RASAL2__promoter
cg08808402,SEMA6A,promoter,SEMA6A__promoter
cg08808571,QDPR,body,QDPR__body
cg08808798,ZNF610,promoter,ZNF610__promoter
cg08808811,CLCN2,promoter,CLCN2__promoter
cg08808812,CMIP,body,CMIP__body
cg08808817,CD300LF,body,CD300LF__body
cg08808904,SPTBN4,body,SPTBN4__body
cg08809251,TMEM45B,body,TMEM45B__body
cg08809260,HOXD1,promoter,HOXD1__promoter
cg08809333,CCL25,body,CCL25__body
cg08809418,GLS2,promoter,GLS2__promoter
cg08809542,ZNF827,body,ZNF827__body
cg08809979,COG8,promoter,COG8__promoter
cg08810007,MEIS3,body,MEIS3__body
cg08810053,RDBP,promoter,RDBP__promoter
cg08810065,G2E3,promoter,G2E3__promoter
cg08810238,FLOT2,promoter,FLOT2__promoter
cg08810397,CLCN7,body,CLCN7__body
cg08810664,ODZ3,body,ODZ3__body
cg08810813,C16orf13,promoter,C16orf13__promoter
cg08810842,EGR3,body,EGR3__body
cg08811210,ZNF311,body,ZNF311__body
cg08811259,BEND6,body,BEND6__body
cg08811309,LOC645323,body,LOC645323__body
cg08811314,CMIP,body,CMIP__body
cg08811443,TBCD,body,TBCD__body
cg08811509,ZNF484,promoter,ZNF484__promoter
cg08811581,PLEKHA7,body,PLEKHA7__body
cg08811888,CBX6,body,CBX6__body
cg08812189,ZIC4,promoter,ZIC4__promoter
cg08812235,IGF2BP3,body,IGF2BP3__body
cg08812242,GIPC1,promoter,GIPC1__promoter
cg08812276,MGEA5,body,MGEA5__body
cg08812555,DKK1,body,DKK1__body
cg08812593,WNT7B,body,WNT7B__body
cg08812689,FNDC3B,body,FNDC3B__body
cg08812936,KCNMB2,promoter,KCNMB2__promoter
cg08813062,SP9,promoter,SP9__promoter
cg08813099,MRAS,promoter,MRAS__promoter
cg08813197,ZFHX3,promoter,ZFHX3__promoter
cg08813207,RAB26,promoter,RAB26__promoter
cg08813325,SORCS2,body,SORCS2__body
cg08813379,HK2,body,HK2__body
cg08813545,CCL20,body,CCL20__body
cg08813944,CPSF4L,promoter,CPSF4L__promoter
cg08814020,POLR1A,body,POLR1A__body
cg08814105,NKX2-5,promoter,NKX2-5__promoter
cg08814170,DZIP1,body,DZIP1__body
cg08814206,PPT2,body,PPT2__body
cg08814268,MAD1L1,body,MAD1L1__body
cg08814373,VAV2,promoter,VAV2__promoter
cg08814381,MAPKAPK5,promoter,MAPKAPK5__promoter
cg08814640,UBE2K,body,UBE2K__body
cg08814698,C12orf11,promoter,C12orf11__promoter
cg08814749,CDH18,body,CDH18__body
cg08814849,S1PR5,body,S1PR5__body
cg08814947,KLK11,promoter,KLK11__promoter
cg08815081,MKX,promoter,MKX__promoter
cg08815110,ARSG,promoter,ARSG__promoter
cg08815306,VWA3A,body,VWA3A__body
cg08815320,FUK,promoter,FUK__promoter
cg08815359,VGLL4,body,VGLL4__body
cg08815365,ODZ2,body,ODZ2__body
cg08815403,HSD17B13,promoter,HSD17B13__promoter
cg08815479,FHAD1,promoter,FHAD1__promoter
cg08815506,GPM6A,promoter,GPM6A__promoter
cg08815583,HEATR2,body,HEATR2__body
cg08815652,UACA,promoter,UACA__promoter
cg08815670,COMTD1,promoter,COMTD1__promoter
cg08815677,NDUFA13,body,NDUFA13__body
cg08815745,C17orf96,promoter,C17orf96__promoter
cg08815785,KCNMB3,promoter,KCNMB3__promoter
cg08815845,KLHL11,body,KLHL11__body
cg08815970,KNDC1,body,KNDC1__body
cg08816023,FGF1,promoter,FGF1__promoter
cg08816037,TRIM59,promoter,TRIM59__promoter
cg08816248,SYNJ2BP,promoter,SYNJ2BP__promoter
cg08816443,LMF1,body,LMF1__body
cg08816869,ARHGDIA,promoter,ARHGDIA__promoter
cg08817171,KIF23,promoter,KIF23__promoter
cg08817204,NRG3,body,NRG3__body
cg08817422,KIAA1949,promoter,KIAA1949__promoter
cg08817540,HHLA2,promoter,HHLA2__promoter
cg08817644,ZNF682,promoter,ZNF682__promoter
cg08817693,C12orf23,promoter,C12orf23__promoter
cg08817786,EFHD1,promoter,EFHD1__promoter
cg08817965,TOP2A,promoter,TOP2A__promoter
cg08817983,RGS12,body,RGS12__body
cg08818130,ZNF654,promoter,ZNF654__promoter
cg08818193,MFSD3,promoter,MFSD3__promoter
cg08818195,FBRSL1,promoter,FBRSL1__promoter
cg08818525,DRAM2,promoter,DRAM2__promoter
cg08818610,FAM65B,promoter,FAM65B__promoter
cg08818829,DNAH5,body,DNAH5__body
cg08818866,LTBP1,body,LTBP1__body
cg08818984,NR3C1,promoter,NR3C1__promoter
cg08819023,AIPL1,body,AIPL1__body
cg08819120,IRAK2,body,IRAK2__body
cg08819647,PHYHIP,promoter,PHYHIP__promoter
cg08819884,TRNT1,promoter,TRNT1__promoter
cg08820079,HGFAC,body,HGFAC__body
cg08820231,SLC26A10,promoter,SLC26A10__promoter
cg08820233,RPH3AL,body,RPH3AL__body
cg08820401,ARHGAP15,body,ARHGAP15__body
cg08820497,C17orf91,promoter,C17orf91__promoter
cg08820801,FBXO17,promoter,FBXO17__promoter
cg08820821,SNRNP70,promoter,SNRNP70__promoter
cg08821557,CLGN,promoter,CLGN__promoter
cg08821600,C1QTNF1,body,C1QTNF1__body
cg08821656,ZBED3,body,ZBED3__body
cg08821738,C1QTNF1,body,C1QTNF1__body
cg08821747,C4orf34,promoter,C4orf34__promoter
cg08821792,C21orf49,promoter,C21orf49__promoter
cg08822075,NFE2L3,body,NFE2L3__body
cg08822118,EIF4G1,promoter,EIF4G1__promoter
cg08822204,SKIV2L2,promoter,SKIV2L2__promoter
cg08822523,FAM190A,promoter,FAM190A__promoter
cg08822616,B3GAT1,body,B3GAT1__body
cg08822689,WWOX,body,WWOX__body
cg08822715,RBM19,promoter,RBM19__promoter
cg08822732,COQ3,body,COQ3__body
cg08822737,SLC39A11,promoter,SLC39A11__promoter
cg08822746,C22orf27,body,C22orf27__body
cg08823027,KCNE1,promoter,KCNE1__promoter
cg08823068,GREM1,promoter,GREM1__promoter
cg08823182,S100A5,promoter,S100A5__promoter
cg08823209,FXYD3,body,FXYD3__body
cg08823219,CCDC113,body,CCDC113__body
cg08823240,MAP3K14,promoter,MAP3K14__promoter
cg08823287,TM4SF18,body,TM4SF18__body
cg08823577,IDUA,promoter,IDUA__promoter
cg08823837,TBC1D16,body,TBC1D16__body
cg08823894,ASCL4,promoter,ASCL4__promoter
cg08823954,PLEKHB1,promoter,PLEKHB1__promoter
cg08823975,ACSL1,body,ACSL1__body
cg08823985,IL20RA,promoter,IL20RA__promoter
cg08824221,LGR4,body,LGR4__body
cg08824232,JAGN1,promoter,JAGN1__promoter
cg08824245,STRA8,promoter,STRA8__promoter
cg08824610,SCN3B,body,SCN3B__body
cg08824692,NDUFC2,body,NDUFC2__body
cg08824961,LOC100128239,body,LOC100128239__body
cg08825200,KCNMB3,promoter,KCNMB3__promoter
cg08825223,ZCCHC24,body,ZCCHC24__body
cg08825225,FLI1,promoter,FLI1__promoter
cg08825286,WDR1,body,WDR1__body
cg08825571,SHARPIN,promoter,SHARPIN__promoter
cg08825816,ACTR10,promoter,ACTR10__promoter
cg08825817,MMP17,body,MMP17__body
cg08825837,WNT2,promoter,WNT2__promoter
cg08825895,SND1,body,SND1__body
cg08826040,HAGH,body,HAGH__body
cg08826080,PDIA5,body,PDIA5__body
cg08826127,SLC6A20,promoter,SLC6A20__promoter
cg08826184,NELL2,body,NELL2__body
cg08826264,TRDMT1,promoter,TRDMT1__promoter
cg08826281,HRC,body,HRC__body
cg08826460,LDLR,body,LDLR__body
cg08826468,SRCAP,body,SRCAP__body
cg08826738,BVES,promoter,BVES__promoter
cg08826839,FAP,promoter,FAP__promoter
cg08826843,MRPL21,promoter,MRPL21__promoter
cg08827079,ZNF181,promoter,ZNF181__promoter
cg08827307,ADAM32,promoter,ADAM32__promoter
cg08827358,BEAN,promoter,BEAN__promoter
cg08827391,GDI2,promoter,GDI2__promoter
cg08827429,CCDC154,body,CCDC154__body
cg08827674,LLGL2,promoter,LLGL2__promoter
cg08827700,SLC22A18,promoter,SLC22A18__promoter
cg08827733,MSH3,promoter,MSH3__promoter
cg08827756,NRN1,body,NRN1__body
cg08828036,ATP10A,promoter,ATP10A__promoter
cg08828193,ZMYND11,promoter,ZMYND11__promoter
cg08828286,CFD,promoter,CFD__promoter
cg08828403,C12orf39,body,C12orf39__body
cg08828531,SLC36A3,promoter,SLC36A3__promoter
cg08828607,RIOK2,promoter,RIOK2__promoter
cg08828664,PFN2,promoter,PFN2__promoter
cg08828787,GLI3,body,GLI3__body
cg08828819,PON3,promoter,PON3__promoter
cg08828868,DDX21,promoter,DDX21__promoter
cg08828886,CHFR,body,CHFR__body
cg08829024,ZG16B,promoter,ZG16B__promoter
cg08829140,CUX1,body,CUX1__body
cg08829149,KRTAP6-3,promoter,KRTAP6-3__promoter
cg08829299,ATHL1,promoter,ATHL1__promoter
cg08829393,SLC45A4,body,SLC45A4__body
cg08829765,RNF168,body,RNF168__body
cg08829841,FOXI2,promoter,FOXI2__promoter
cg08829877,ARVCF,body,ARVCF__body
cg08830105,RAB11FIP3,promoter,RAB11FIP3__promoter
cg08830139,CD14,promoter,CD14__promoter
cg08830157,SLC12A7,body,SLC12A7__body
cg08830520,ADCY6,promoter,ADCY6__promoter
cg08830553,FAM46B,promoter,FAM46B__promoter
cg08830576,C16orf91,promoter,C16orf91__promoter
cg08830588,KCNH3,body,KCNH3__body
cg08830672,ATP6V0D1,promoter,ATP6V0D1__promoter
cg08830754,GSTA4,promoter,GSTA4__promoter
cg08830818,HSPBAP1,promoter,HSPBAP1__promoter
cg08830853,SMOX,promoter,SMOX__promoter
cg08831034,ANO7,body,ANO7__body
cg08831077,HRH1,promoter,HRH1__promoter
cg08831277,ANXA5,promoter,ANXA5__promoter
cg08831348,EML2,body,EML2__body
cg08831354,TRIM46,promoter,TRIM46__promoter
cg08831369,DENND1B,body,DENND1B__body
cg08831528,ATP11A,body,ATP11A__body
cg08831594,TSPAN15,promoter,TSPAN15__promoter
cg08831701,HELZ,promoter,HELZ__promoter
cg08831744,IGFBP3,promoter,IGFBP3__promoter
cg08831999,LOC648691,promoter,LOC648691__promoter
cg08832018,LEKR1,promoter,LEKR1__promoter
cg08832054,FLYWCH2,promoter,FLYWCH2__promoter
cg08832136,AP2M1,body,AP2M1__body
cg08832195,CDK13,body,CDK13__body
cg08832220,WNT5A,body,WNT5A__body
cg08832227,KCNA1,body,KCNA1__body
cg08832414,ECE2,promoter,ECE2__promoter
cg08832603,DLX5,body,DLX5__body
cg08832695,LOC404266,promoter,LOC404266__promoter
cg08832709,AKAP9,promoter,AKAP9__promoter
cg08832744,C17orf55,promoter,C17orf55__promoter
cg08832745,FBXL13,body,FBXL13__body
cg08832799,EVI5L,promoter,EVI5L__promoter
cg08832906,CLEC2L,promoter,CLEC2L__promoter
cg08833010,FAM53A,promoter,FAM53A__promoter
cg08833432,PSMA7,promoter,PSMA7__promoter
cg08833546,TYW1,promoter,TYW1__promoter
cg08833577,VAX1,promoter,VAX1__promoter
cg08833630,SLC22A4,promoter,SLC22A4__promoter
cg08833778,FREM3,promoter,FREM3__promoter
cg08834057,KCNG3,body,KCNG3__body
cg08834152,SMYD5,promoter,SMYD5__promoter
cg08834383,SRFBP1,body,SRFBP1__body
cg08834401,FIGLA,promoter,FIGLA__promoter
cg08834602,IRGC,promoter,IRGC__promoter
cg08834631,LMLN,promoter,LMLN__promoter
cg08834902,ABAT,promoter,ABAT__promoter
cg08834922,AOC3,promoter,AOC3__promoter
cg08834938,ADCY9,body,ADCY9__body
cg08834989,CNGA3,body,CNGA3__body
cg08835099,PCDHA2,body,PCDHA2__body
cg08835113,DLX5,body,DLX5__body
cg08835164,RUNDC3A,promoter,RUNDC3A__promoter
cg08835221,LGALS1,promoter,LGALS1__promoter
cg08835258,DNASE1L2,promoter,DNASE1L2__promoter
cg08835342,PRR19,promoter,PRR19__promoter
cg08835403,SPNS2,body,SPNS2__body
cg08835688,GRB10,promoter,GRB10__promoter
cg08835795,ZNF665,body,ZNF665__body
cg08835910,MGC3771,promoter,MGC3771__promoter
cg08835956,POU6F2,body,POU6F2__body
cg08835992,OR5E1P,promoter,OR5E1P__promoter
cg08836009,ANKRD24,body,ANKRD24__body
cg08836024,RARS2,promoter,RARS2__promoter
cg08836353,SLC7A9,promoter,SLC7A9__promoter
